,0,1,2,3,4,5,6,7,8,9,10
144,0.0032655652309869776,0.005841043288982606,0.008131725448994542,0.010975564804167615,0.013116515160300324,0.014917475398738445,0.01651614151922398,0.019957503329262494,0.021387428540526554,0.02256040335394016,0.023730637614785666
156,0.004565738092161986,0.007911967482302495,0.011368725386377787,0.013913610235047336,0.016338363922697496,0.018725528239994405,0.020356189185791407,0.021795300090474812,0.022751687359260253,0.023295536525339222,0.023805240171954067
157,0.003201407965583547,0.006177170686172628,0.008634034880383501,0.011314667797335365,0.0140349731119771,0.016353450427337823,0.018182206472448725,0.019985460205485528,0.02197004571553407,0.023077136419786815,0.023520318267258866
158,0.004150781206382459,0.0069756029922425355,0.00986599534614463,0.01294932459441056,0.015157941191670576,0.0171709946939419,0.01907546757427203,0.020844833136059115,0.022312444426361266,0.023591214171451824,0.024309739690353882
159,0.003989902610128104,0.007076490168980154,0.01010287776739971,0.0119801056793164,0.013617464688139624,0.015122542575135456,0.016590995787684526,0.01743324666114887,0.018317357934130918,0.019292956292881747,0.019939836657159038
162,0.004263708367204577,0.00713028807231364,0.0094811811549661,0.011944337768005187,0.014408659586464756,0.016523867884694732,0.017916676865085912,0.019051840805487608,0.020132042746165313,0.021039047947593925,0.021867146461138298
164,0.004977178839984164,0.008093415331635545,0.010505685569339618,0.012777038272435592,0.01561686693085873,0.018039193623560656,0.019474137453168727,0.021214176674065333,0.022613856847436442,0.02368967067271166,0.024402965618526284
166,0.003195760316066054,0.005991490613377781,0.008072919985244176,0.010698613875012586,0.01287991514878084,0.01615150080537464,0.01828495487902293,0.019362308924689264,0.020380875093174544,0.021637535735078983,0.02240347031964296
168,0.002597815519932656,0.005224368219959086,0.007839419988457053,0.00977780165130171,0.010987612386306855,0.012295814500499325,0.013573500830999397,0.014436999814147033,0.015178077866780493,0.015830042626653884,0.01762993559102355
174,0.0033571444637781056,0.006461790226228836,0.010411045600135949,0.012827992500874963,0.014926665972919362,0.016997534818424365,0.018885394221642593,0.0203346479021993,0.021937661325634017,0.023200402504226947,0.024276648347612118
176,0.00386862585508696,0.007843127399237426,0.011051465597527232,0.014427162549875971,0.01741279798538542,0.019807131833800673,0.021864349734709743,0.023589472461909233,0.025189396005586562,0.02658439408408908,0.02748360935018923
