,opto_stim,wheel_velocity,nose,paw_l,paw_r,tongue_end_l,tongue_end_r,motion_energy_body,motion_energy_left,motion_energy_right,pupil_diameter,score,acronym
117,0.009570459857460634,0.015192114507980747,0.020938517662651535,0.025398528222894234,0.02671756919343371,0.027476322540912035,0.02826095057112521,0.028277989432234807,0.02827798943223392,0.028277989432235473,0.028277989432234807,0.028277989432234807,ORBm5
118,0.013033802207471745,0.023266537857083658,0.027445793315300504,0.029107425071845605,0.02964230556499936,0.029939280467587648,0.03019954425041571,0.030244507163606715,0.030244507163601386,0.030244507163601386,0.03024450716360294,0.03024450716360294,ORBm5
119,0.007130730583195022,0.00991193046329164,0.01304238405561986,0.015700931931247553,0.017999906237574526,0.018864555073996203,0.019529124337122616,0.019869534721661197,0.019869534721660642,0.01986953472166164,0.019869534721660864,0.019869534721660864,ORBm5
121,0.01289830407700876,0.02122402406533863,0.02646497268407544,0.03100273331771819,0.03381273776191751,0.03520874117661099,0.0363615793167148,0.03684756887587859,0.03684756887588381,0.036847568875884584,0.03684756887588969,0.03684756887588969,ORBm5
123,0.00797091223241675,0.014939878384204075,0.02022997520255465,0.024551159032366376,0.026331626092790494,0.028153514936490875,0.02973828358128816,0.03108068071702741,0.031080680717020415,0.031080680717028963,0.03108068071702308,0.03108068071702308,ORBm5
124,0.009549545975493179,0.015196724085741242,0.020940202413982978,0.026635412304154116,0.02879438058548045,0.030564718283766057,0.03150346429979445,0.03184552416201758,0.03184552416201103,0.03184552416201725,0.03184552416201725,0.03184552416201725,ORBm5
126,0.05426553606096651,0.06534734208375281,0.07760911658871739,0.08127666781941212,0.08529723974557313,0.08788596819843897,0.08986733759971688,0.09033218046734504,0.09033218046734637,0.09033218046734304,0.09033218046734237,0.09033218046734237,ORBm5
127,0.009086118394988296,0.018538529249718105,0.02367613899069987,0.028797611587521255,0.030954276757618415,0.031716170864394044,0.032384487837335385,0.0324970451583283,0.03249704515832974,0.03249704515833285,0.03249704515833329,0.03249704515833329,ORBm5
128,0.004100250727128052,0.006659581778965751,0.009223590065686738,0.01048253359818374,0.011501366493470666,0.01195905784946416,0.0121175091206005,0.012228475337419331,0.012228475337421107,0.012228475337419442,0.012228475337421219,0.012228475337421219,ORBm5
132,0.00873630242824841,0.01800478837088959,0.025986062545101496,0.029344064642005896,0.038573479877827666,0.03981310574550767,0.04092905232751132,0.040951248534582985,0.04095124853458365,0.04095124853458265,0.04095124853458243,0.04095124853458243,ORBm5
134,0.011160720071526353,0.020474223374543743,0.029538742035296495,0.03495444171857465,0.039105824674606215,0.04296378049460947,0.043209607674704165,0.043382154628330616,0.04338215462832984,0.04338215462833206,0.04338215462832817,0.04338215462832817,ORBm5
135,0.006018760435860582,0.010115161941391726,0.014394422005486907,0.01756179041857775,0.02053146022035235,0.02340350555195736,0.024879985891480327,0.02501838505340226,0.025018385053398373,0.025018385053401038,0.025018385053403702,0.025018385053403702,ORBm5
136,0.025957162327666428,0.030224206455395697,0.033613838684793174,0.03690514279965529,0.039614664892176576,0.04175403888953333,0.04383759909214091,0.04385614443330044,0.04385614443329666,0.04385614443329999,0.04385614443329722,0.04385614443329722,ORBm5
