Hz,region,baseline,stim,ratio,subject,date,probe
192.87109375,Str,-284.99213,-283.05872,0.9996557,ZFM-03330,2022-02-18,probe00
195.3125,BC,-284.52594,-281.06067,1.0202831,ZFM-03330,2022-02-18,probe00
195.3125,Pir,-281.02417,-276.69406,1.0112603,ZFM-03330,2022-02-18,probe00
195.3125,Str,-284.16116,-281.34222,1.0133191,ZFM-03330,2022-02-18,probe00
197.75390625,BC,-281.27667,-278.414,1.003429,ZFM-03330,2022-02-18,probe00
197.75390625,Pir,-278.40912,-277.80618,1.0081027,ZFM-03330,2022-02-18,probe00
197.75390625,Str,-280.76733,-276.80612,1.0109125,ZFM-03330,2022-02-18,probe00
2.44140625,MRN,-214.27026,-219.45532,0.9796444,ZFM-03330,2022-02-17,probe01
2.44140625,RSP,-219.81863,-221.83878,0.9904701,ZFM-03330,2022-02-17,probe01
2.44140625,SC,-211.96759,-218.01947,0.94800913,ZFM-03330,2022-02-17,probe01
2.44140625,SN,-217.29553,-218.69345,0.9830521,ZFM-03330,2022-02-17,probe01
4.8828125,MRN,-212.60947,-218.4588,0.9776318,ZFM-03330,2022-02-17,probe01
4.8828125,RSP,-220.07568,-224.01291,0.9716811,ZFM-03330,2022-02-17,probe01
4.8828125,SC,-209.34521,-213.34534,0.97354686,ZFM-03330,2022-02-17,probe01
4.8828125,SN,-215.87236,-219.39197,0.9814403,ZFM-03330,2022-02-17,probe01
7.32421875,MRN,-210.28458,-213.26797,0.986132,ZFM-03330,2022-02-17,probe01
7.32421875,RSP,-219.20392,-225.1713,0.9867178,ZFM-03330,2022-02-17,probe01
7.32421875,SC,-206.93808,-210.55109,0.99050045,ZFM-03330,2022-02-17,probe01
7.32421875,SN,-216.42467,-218.6546,0.982373,ZFM-03330,2022-02-17,probe01
9.765625,MRN,-219.66194,-224.47601,0.9802799,ZFM-03330,2022-02-17,probe01
9.765625,RSP,-227.36392,-229.59515,1.0007575,ZFM-03330,2022-02-17,probe01
9.765625,SC,-218.28604,-222.26413,0.97968864,ZFM-03330,2022-02-17,probe01
9.765625,SN,-226.64119,-226.98827,0.9915266,ZFM-03330,2022-02-17,probe01
12.20703125,MRN,-228.58542,-235.71445,0.9712524,ZFM-03330,2022-02-17,probe01
12.20703125,RSP,-234.25217,-236.46631,0.99484456,ZFM-03330,2022-02-17,probe01
12.20703125,SC,-226.62729,-230.45297,0.9890252,ZFM-03330,2022-02-17,probe01
12.20703125,SN,-233.72935,-238.66614,0.9744946,ZFM-03330,2022-02-17,probe01
14.6484375,MRN,-232.41415,-239.18378,0.9724396,ZFM-03330,2022-02-17,probe01
14.6484375,RSP,-233.57407,-238.82498,0.97168684,ZFM-03330,2022-02-17,probe01
14.6484375,SC,-229.92908,-237.41687,0.98200804,ZFM-03330,2022-02-17,probe01
14.6484375,SN,-234.91206,-238.62689,0.97201824,ZFM-03330,2022-02-17,probe01
17.08984375,MRN,-233.45657,-243.77377,0.96081334,ZFM-03330,2022-02-17,probe01
17.08984375,RSP,-237.06259,-244.1527,0.9824017,ZFM-03330,2022-02-17,probe01
17.08984375,SC,-233.29492,-242.05014,0.96303403,ZFM-03330,2022-02-17,probe01
17.08984375,SN,-238.24438,-244.06563,0.96744406,ZFM-03330,2022-02-17,probe01
19.53125,MRN,-242.79163,-242.05762,0.99850255,ZFM-03330,2022-02-17,probe01
19.53125,RSP,-243.13522,-244.8255,0.9889271,ZFM-03330,2022-02-17,probe01
19.53125,SC,-239.07466,-239.83882,0.9880718,ZFM-03330,2022-02-17,probe01
19.53125,SN,-240.99138,-239.79068,0.9958272,ZFM-03330,2022-02-17,probe01
21.97265625,MRN,-241.8294,-244.95554,0.9959775,ZFM-03330,2022-02-17,probe01
21.97265625,RSP,-244.89647,-243.76488,0.98904175,ZFM-03330,2022-02-17,probe01
21.97265625,SC,-241.23154,-241.40106,0.99530196,ZFM-03330,2022-02-17,probe01
21.97265625,SN,-239.1987,-245.55719,0.99563456,ZFM-03330,2022-02-17,probe01
24.4140625,MRN,-239.20377,-247.90079,0.9753158,ZFM-03330,2022-02-17,probe01
24.4140625,RSP,-245.367,-248.30658,0.98088276,ZFM-03330,2022-02-17,probe01
24.4140625,SC,-238.21703,-245.52356,0.9708724,ZFM-03330,2022-02-17,probe01
24.4140625,SN,-242.1051,-247.00647,0.97413707,ZFM-03330,2022-02-17,probe01
26.85546875,MRN,-243.22188,-249.43716,0.97414434,ZFM-03330,2022-02-17,probe01
26.85546875,RSP,-247.87509,-249.30786,0.9794461,ZFM-03330,2022-02-17,probe01
26.85546875,SC,-241.4011,-246.16321,0.97555816,ZFM-03330,2022-02-17,probe01
26.85546875,SN,-245.58441,-249.71417,0.99007607,ZFM-03330,2022-02-17,probe01
29.296875,MRN,-244.19711,-251.55873,0.9772092,ZFM-03330,2022-02-17,probe01
29.296875,RSP,-250.31882,-250.10037,1.0037613,ZFM-03330,2022-02-17,probe01
29.296875,SC,-242.32153,-247.71735,0.9842062,ZFM-03330,2022-02-17,probe01
29.296875,SN,-244.49759,-248.84732,0.9831748,ZFM-03330,2022-02-17,probe01
31.73828125,MRN,-243.68845,-252.30443,0.96092165,ZFM-03330,2022-02-17,probe01
31.73828125,RSP,-248.4462,-253.25117,0.9926114,ZFM-03330,2022-02-17,probe01
31.73828125,SC,-242.9567,-250.864,0.9653321,ZFM-03330,2022-02-17,probe01
31.73828125,SN,-246.4793,-247.8688,0.99285734,ZFM-03330,2022-02-17,probe01
34.1796875,MRN,-248.36465,-253.4766,0.98890054,ZFM-03330,2022-02-17,probe01
34.1796875,RSP,-250.75803,-250.0469,0.9892537,ZFM-03330,2022-02-17,probe01
34.1796875,SC,-245.66249,-249.68848,0.99519217,ZFM-03330,2022-02-17,probe01
34.1796875,SN,-247.38948,-246.5889,1.0081735,ZFM-03330,2022-02-17,probe01
36.62109375,MRN,-250.08913,-256.78516,0.97521555,ZFM-03330,2022-02-17,probe01
36.62109375,RSP,-253.11832,-254.05527,1.0035002,ZFM-03330,2022-02-17,probe01
36.62109375,SC,-249.0075,-250.55229,0.9784967,ZFM-03330,2022-02-17,probe01
