subject,date,eid,probe,pid,region,neuron_id,mod_index_early,mod_index_late,modulated,p_value,latency_peak,latency_peak_onset,anesthesia
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,PIR,9,-0.02,-0.02,False,0.3321423390153419,,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,PIR,12,-0.164,-0.1056,True,0.000192851109346,0.2386654021893264,0.0104027329330165,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,PIR,21,-0.0075999999999999,-0.0307999999999999,False,0.1036963218376405,,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,PIR,46,-0.2051999999999999,-0.2828,True,0.0001148290377557,0.1150666500557235,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,PIR,74,-0.1412000000000001,-0.202,True,0.002459826540016,0.54650450605277,0.0092268787871034,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,PIR,77,-0.0375999999999999,-0.12,True,0.0003431707732304,0.2777016241279852,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,PIR,150,-0.1447999999999999,-0.26,True,0.0001525079075492,0.1089333141303541,0.0806241605214381,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,root,178,-0.1923999999999999,-0.4519999999999999,True,4.899741051556106e-06,0.1264873810719109,0.0232870046406787,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,root,184,-0.0796,-0.12,True,0.0238633066925477,,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,EPd,186,-0.2496,-0.62,True,2.271959309574356e-08,0.1064308351051295,0.0935747146049834,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,EPd,274,0.1903999999999999,-0.1091999999999999,True,1.0557438978597845e-07,0.4371147387005294,0.2203978265788464,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,LA,320,-0.2735999999999999,-0.3144,True,5.299609418329965e-05,0.6499237766943224,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,CP,428,0.0,0.0,False,0.0555709592005189,,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,CP,430,-0.02,-0.0408,False,0.0725721347872053,,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,CP,462,0.0,0.0,False,0.8958881663283125,,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,CP,505,-0.1619999999999999,-0.1975999999999999,True,0.0002178143661976,0.4146988072166095,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,CP,514,0.0,0.0,True,6.356877437319053e-05,,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,CP,544,0.0,0.0,False,0.7844382188820236,,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,CP,545,-0.1215999999999999,-0.0992,True,0.0122920128779527,,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,CP,550,-0.1831999999999999,-0.2524,True,0.0006251153662459,0.2208320615927732,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe01,181aeeb1-9858-4562-9d7c-1ce21959cd80,CP,554,-0.2044,-0.384,True,9.349812953862724e-07,0.1068234290182772,,both
