,subject,date,eid,region_1,region_2,region_pair,r_opto,r_spont_05,r_spont_95,time
301,ZFM-01802,2021-03-11,2cefe445-36a8-4d6a-95b0-1adb59b9edd4,Amyg,Pir,Amyg-Pir,0.8046976013359339,-0.42465974527646,0.563070137157179,-0.7000000000000001
302,ZFM-01802,2021-03-11,2cefe445-36a8-4d6a-95b0-1adb59b9edd4,Amyg,Pir,Amyg-Pir,0.7481691567347504,-0.4115275185996713,0.5293026417990151,-0.5
303,ZFM-01802,2021-03-11,2cefe445-36a8-4d6a-95b0-1adb59b9edd4,Amyg,Pir,Amyg-Pir,0.5486122300833861,-0.41365599991184954,0.5202006993567523,-0.30000000000000004
304,ZFM-01802,2021-03-11,2cefe445-36a8-4d6a-95b0-1adb59b9edd4,Amyg,Pir,Amyg-Pir,0.11121445466002927,-0.4316711059113632,0.5388610808602071,-0.1
305,ZFM-01802,2021-03-11,2cefe445-36a8-4d6a-95b0-1adb59b9edd4,Amyg,Pir,Amyg-Pir,0.37009790984298524,-0.4062134723014405,0.5312275867993332,0.1
306,ZFM-01802,2021-03-11,2cefe445-36a8-4d6a-95b0-1adb59b9edd4,Amyg,Pir,Amyg-Pir,0.5436714111860829,-0.4226312649354126,0.5726470098238677,0.30000000000000004
307,ZFM-01802,2021-03-11,2cefe445-36a8-4d6a-95b0-1adb59b9edd4,Amyg,Pir,Amyg-Pir,-0.30277925727640786,-0.3866483208276349,0.564461493150692,0.5
308,ZFM-01802,2021-03-11,2cefe445-36a8-4d6a-95b0-1adb59b9edd4,Amyg,Pir,Amyg-Pir,0.7737472575248352,-0.4039971709326992,0.5384279740578619,0.7000000000000001
309,ZFM-01802,2021-03-11,2cefe445-36a8-4d6a-95b0-1adb59b9edd4,Amyg,Pir,Amyg-Pir,0.7029985073298027,-0.4245416656820574,0.533147282104875,0.9
310,ZFM-01802,2021-03-11,2cefe445-36a8-4d6a-95b0-1adb59b9edd4,Amyg,Pir,Amyg-Pir,0.7928718758657768,-0.4087611033022002,0.5559910861798186,1.1
311,ZFM-01802,2021-03-11,2cefe445-36a8-4d6a-95b0-1adb59b9edd4,Amyg,Pir,Amyg-Pir,0.8957648834372949,-0.3903821426087108,0.5334751423219698,1.3000000000000003
312,ZFM-01802,2021-03-11,2cefe445-36a8-4d6a-95b0-1adb59b9edd4,Amyg,Pir,Amyg-Pir,-0.12146140823411258,-0.4211648513490044,0.5217990236764662,1.5
313,ZFM-01802,2021-03-11,2cefe445-36a8-4d6a-95b0-1adb59b9edd4,Amyg,Pir,Amyg-Pir,0.48809405479846896,-0.4286462331197898,0.5343274143153783,1.7000000000000002
314,ZFM-01802,2021-03-11,2cefe445-36a8-4d6a-95b0-1adb59b9edd4,Amyg,Pir,Amyg-Pir,0.6548935502937373,-0.4287948446629799,0.5539745162035213,1.9
315,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,PPC,Hipp-PPC,0.4697574089554124,-0.22567850123772704,0.3613650466463605,-0.9
316,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,PPC,Hipp-PPC,0.04569836880391027,-0.27309205168876083,0.378014627832216,-0.7000000000000001
317,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,PPC,Hipp-PPC,0.22500496380444118,-0.24435294671870106,0.3108828372858831,-0.5
318,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,PPC,Hipp-PPC,0.03580548113847049,-0.21972162277412155,0.3796160136141991,-0.30000000000000004
319,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,PPC,Hipp-PPC,-0.30514852588842173,-0.24494684390397506,0.3613156754807491,-0.1
320,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,PPC,Hipp-PPC,0.23672239755408547,-0.2309060621295901,0.33939267677462026,0.1
321,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,PPC,Hipp-PPC,-0.021154249077992144,-0.279700261472806,0.31893793756626443,0.30000000000000004
322,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,PPC,Hipp-PPC,0.5511189682043246,-0.28450212129906954,0.3361306298705778,0.5
323,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,PPC,Hipp-PPC,0.1401734066951291,-0.24052192903734404,0.31616747790493727,0.7000000000000001
324,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,PPC,Hipp-PPC,0.2706132482769996,-0.24515512328645592,0.34076833356545533,0.9
325,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,PPC,Hipp-PPC,-0.30926625418532844,-0.24777147025961044,0.3738951557755346,1.1
326,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,PPC,Hipp-PPC,-0.18233132255209542,-0.2341702123856834,0.3596242307210286,1.3000000000000003
