,subject,date,eid,region_1,region_2,region_pair,r_opto,r_baseline,time
72,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.2534374958250902,0.03140812295491807,1.5
73,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.27297635374296364,0.050946980872791536,1.7000000000000002
74,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.10603380535314619,-0.11599556751702592,1.9
75,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.15267245666326995,-0.06935691620690215,2.1
76,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.11762810314166863,-0.10440126972850347,2.3000000000000003
77,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.38237838088776743,0.16034900801759533,2.5
78,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.09569366865651195,-0.12633570421366014,2.7
79,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.1940701616845088,-0.027959211185663302,2.9000000000000004
80,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.5992804351625454,0.1338644696764481,-0.9
81,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.35972805193022644,-0.10568791355587082,-0.7000000000000001
82,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.40708424677343996,-0.0583317187126573,-0.5
83,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.5069965615437256,0.04158059605762837,-0.30000000000000004
84,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.4539905320205492,-0.011425433465548085,-0.1
85,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.4357149506685035,-0.02970101481759374,0.1
86,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.505113049748574,0.0396970842624767,0.30000000000000004
87,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.5666426102100535,0.1012266447239562,0.5
88,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.5126318733462801,0.04721590786018287,0.7000000000000001
89,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.4670706853249487,0.0016547198388514595,0.9
90,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.5188366656333776,0.05342070014728034,1.1
91,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.5476291422159946,0.08221317672989731,1.3000000000000003
