pid,eid,probe,subject,neuron_id,regions,dist_soma,theta,phi,spread,v_above,v_below,type
307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,27c5e5e6-0359-4375-b53e-677aa57a73c0,probe00,ZFM-04083,189,MOs5,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,,,,Und.
307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,27c5e5e6-0359-4375-b53e-677aa57a73c0,probe00,ZFM-04083,192,MOs5,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,,,,Und.
307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,27c5e5e6-0359-4375-b53e-677aa57a73c0,probe00,ZFM-04083,295,MOs6a,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,,,,Und.
307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,27c5e5e6-0359-4375-b53e-677aa57a73c0,probe00,ZFM-04083,198,MOs5,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,,,,Und.
2cd25262-6818-4b21-9f25-8b8f938c5e37,31684e30-6708-4816-a8cb-c32c63ea7541,probe00,ZFM-03331,525,VISa5,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,,,,Und.
2cd25262-6818-4b21-9f25-8b8f938c5e37,31684e30-6708-4816-a8cb-c32c63ea7541,probe00,ZFM-03331,350,VISa5,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,,,,Und.
2cd25262-6818-4b21-9f25-8b8f938c5e37,31684e30-6708-4816-a8cb-c32c63ea7541,probe00,ZFM-03331,352,VISa4,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,,,,Und.
2cd25262-6818-4b21-9f25-8b8f938c5e37,31684e30-6708-4816-a8cb-c32c63ea7541,probe00,ZFM-03331,482,VISa6a,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,,,,Und.
2cd25262-6818-4b21-9f25-8b8f938c5e37,31684e30-6708-4816-a8cb-c32c63ea7541,probe00,ZFM-03331,483,VISa5,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,,,,Und.
2cd25262-6818-4b21-9f25-8b8f938c5e37,31684e30-6708-4816-a8cb-c32c63ea7541,probe00,ZFM-03331,490,VISa4,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,,,,Und.
