subject,date,pid,time,n_neurons,pca_dist
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.06,134,0.3544706566582752
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.08,134,0.4420549799233867
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.1,134,1.0644443021259673
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.12,134,0.563695388969776
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.1400000000000001,134,1.286494141388571
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.16,134,0.6265636621802243
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.18,134,1.1871361859640766
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.2,134,1.3924881436097445
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.22,134,0.7940467709451302
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.24,134,0.8615053869772997
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.26,134,0.5870557936731085
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.28,134,0.44089622943612755
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.3,134,0.40620050086910797
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.32,134,0.6680100607241367
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.34,134,1.4707917163555517
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.36,134,0.6845847806984574
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.3800000000000001,134,1.286369787027457
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.4000000000000001,134,2.096780494953057
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.42,134,1.5368553761865926
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.44,134,0.949616884850779
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.46,134,0.4016521185565898
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.48,134,0.7017876710653232
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.5,134,0.8742969096711317
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.52,134,1.1853760358792407
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.54,134,1.6484609068859852
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.56,134,1.662645794934134
