,subject,date,eid,region,pca_opto,pca_spont_mean,pca_spont_05,pca_spont_95,time
74,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,Pir,17.0,19.34,18.0,21.0,1.9
75,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,M2,15.0,16.61,15.0,18.049999999999997,-0.9
76,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,M2,14.0,16.6,15.0,18.0,-0.7000000000000001
77,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,M2,15.0,16.47,15.0,18.0,-0.5
78,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,M2,17.0,16.62,15.0,18.0,-0.30000000000000004
79,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,M2,17.0,16.47,15.0,18.0,-0.1
80,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,M2,15.0,16.45,14.95,18.0,0.1
81,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,M2,16.0,16.58,15.0,18.0,0.30000000000000004
82,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,M2,16.0,16.67,15.0,18.0,0.5
83,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,M2,15.0,16.76,15.0,19.0,0.7000000000000001
84,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,M2,15.0,16.63,15.0,18.0,0.9
85,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,M2,16.0,16.5,15.0,18.0,1.1
86,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,M2,16.0,16.44,15.0,18.0,1.3000000000000003
87,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,M2,16.0,16.4,15.0,18.0,1.5
88,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,M2,16.0,16.51,15.0,18.0,1.7000000000000002
89,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,M2,16.0,16.39,15.0,18.0,1.9
90,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,mPFC,17.0,18.14,16.0,20.0,-0.9
91,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,mPFC,19.0,17.99,16.0,20.0,-0.7000000000000001
92,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,mPFC,18.0,18.12,16.0,20.049999999999997,-0.5
93,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,mPFC,18.0,18.31,16.0,20.0,-0.30000000000000004
94,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,mPFC,18.0,18.28,16.0,20.0,-0.1
95,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,mPFC,19.0,18.08,16.0,20.0,0.1
96,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,mPFC,19.0,18.26,16.0,21.0,0.30000000000000004
97,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,mPFC,18.0,18.18,16.0,20.0,0.5
98,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,mPFC,18.0,18.14,16.0,20.0,0.7000000000000001
99,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,mPFC,17.0,18.2,16.0,20.0,0.9
100,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,mPFC,16.0,17.98,16.0,20.0,1.1
101,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,mPFC,17.0,18.11,15.0,20.0,1.3000000000000003
102,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,mPFC,15.0,18.03,16.0,20.0,1.5
103,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,mPFC,17.0,18.17,16.0,20.0,1.7000000000000002
104,ZFM-03330,2022-02-15,7ab26936-81b3-482d-a60f-538e2e325f1e,mPFC,17.0,18.36,16.0,21.0,1.9
105,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,M2,12.0,13.18,12.0,14.049999999999997,-0.9
106,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,M2,12.0,13.31,12.0,15.0,-0.7000000000000001
107,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,M2,13.0,13.28,12.0,14.049999999999997,-0.5
108,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,M2,14.0,13.26,12.0,14.0,-0.30000000000000004
109,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,M2,13.0,13.38,12.0,15.0,-0.1
110,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,M2,13.0,13.37,12.0,15.0,0.1
